Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.02,1.05,1.09,1.13,1.18,1.24,1.3,1.37,1.44,1.52,1.13
UNEMP,1969Q1--2025Q2*,0.97,0.94,0.93,0.93,0.94,0.96,0.99,1.02,1.07,1.12,0.97
UNEMP,1969Q1--1999Q4,0.97,0.96,0.95,0.96,0.98,1,1.04,1.08,1.13,1.19,1.01
UNEMP,2000Q1--2025Q2,1.03,1.07,1.12,1.17,1.23,1.3,1.37,1.44,1.51,1.59,1.15
UNEMP,2000Q1--2025Q2*,0.95,0.91,0.88,0.85,0.85,0.85,0.86,0.89,0.93,0.98,0.88
UNEMP,2000Q1--2008Q4,0.97,0.95,0.94,0.93,0.92,0.92,0.93,0.94,0.96,0.98,0.94
UNEMP,2000Q1--2019Q4,0.95,0.91,0.88,0.86,0.85,0.85,0.86,0.89,0.92,0.97,0.88
UNEMP,2010Q1--2019Q4,0.97,0.95,0.94,0.95,0.97,1,1.04,1.09,1.15,1.22,0.95
UNEMP,2022Q1--2025Q2,0.93,0.88,0.85,0.82,0.82,0.84,0.87,0.92,0.98,1.06,0.83
RGDP,1969Q1--2025Q2,0.97,0.96,0.95,0.96,0.97,1,1.03,1.08,1.13,1.18,0.98
RGDP,1969Q1--2025Q2*,0.97,0.94,0.93,0.93,0.94,0.96,0.99,1.03,1.07,1.12,0.96
RGDP,1969Q1--1999Q4,0.97,0.95,0.94,0.94,0.95,0.97,1,1.03,1.07,1.12,1.02
RGDP,2000Q1--2025Q2,0.98,0.96,0.96,0.96,0.98,1.01,1.05,1.09,1.15,1.21,0.96
RGDP,2000Q1--2025Q2*,0.97,0.94,0.93,0.92,0.93,0.95,0.98,1.02,1.07,1.13,0.93
RGDP,2000Q1--2008Q4,0.94,0.9,0.87,0.86,0.87,0.9,0.94,1,1.07,1.15,0.87
RGDP,2000Q1--2019Q4,0.97,0.95,0.95,0.95,0.97,1,1.03,1.08,1.13,1.19,0.96
RGDP,2010Q1--2019Q4,0.97,0.96,0.96,0.98,1.01,1.05,1.1,1.16,1.24,1.31,0.98
RGDP,2022Q1--2025Q2,0.95,0.92,0.89,0.88,0.87,0.88,0.9,0.92,0.96,1.01,0.89
INDPROD,1969Q1--2025Q2,0.97,0.95,0.93,0.93,0.94,0.96,0.99,1.03,1.07,1.13,0.94
INDPROD,1969Q1--2025Q2*,0.97,0.94,0.93,0.93,0.94,0.96,0.98,1.02,1.07,1.12,0.94
INDPROD,1969Q1--1999Q4,0.97,0.94,0.93,0.93,0.93,0.95,0.98,1.02,1.06,1.12,0.93
INDPROD,2000Q1--2025Q2,0.97,0.96,0.95,0.96,0.97,1,1.03,1.07,1.12,1.18,0.96
INDPROD,2000Q1--2025Q2*,0.97,0.95,0.94,0.94,0.95,0.97,1,1.04,1.09,1.15,0.94
INDPROD,2000Q1--2008Q4,0.97,0.95,0.93,0.93,0.94,0.96,0.99,1.03,1.07,1.13,0.94
INDPROD,2000Q1--2019Q4,0.97,0.95,0.93,0.93,0.94,0.96,0.99,1.03,1.08,1.13,0.94
INDPROD,2010Q1--2019Q4,0.98,0.97,0.96,0.97,0.99,1.02,1.06,1.11,1.16,1.22,0.97
INDPROD,2022Q1--2025Q2,1.07,1.2,1.37,1.57,1.79,2.03,2.27,2.52,2.77,3.03,1.52
CPI,1981Q3--2025Q2,0.99,1,1.01,1.04,1.07,1.11,1.16,1.22,1.28,1.35,1.02
CPI,1981Q3--2025Q2*,1,1.01,1.03,1.06,1.11,1.15,1.21,1.27,1.34,1.41,1.02
CPI,1981Q3--1999Q4,0.99,1,1.01,1.04,1.07,1.12,1.17,1.23,1.3,1.37,1.02
CPI,2000Q1--2025Q2,0.99,1,1.01,1.04,1.07,1.11,1.16,1.22,1.28,1.34,1.02
CPI,2000Q1--2025Q2*,1,1.02,1.04,1.07,1.12,1.17,1.22,1.29,1.35,1.43,1.02
CPI,2000Q1--2008Q4,1.01,1.03,1.05,1.08,1.11,1.14,1.17,1.21,1.25,1.29,1.01
CPI,2000Q1--2019Q4,1.02,1.05,1.09,1.14,1.19,1.25,1.32,1.39,1.46,1.53,1.01
CPI,2010Q1--2019Q4,1.01,1.04,1.07,1.11,1.16,1.22,1.28,1.35,1.42,1.49,1
CPI,2022Q1--2025Q2,0.93,0.88,0.84,0.82,0.81,0.82,0.84,0.89,0.94,1.01,1.06
