Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.01,1.03,1.06,1.1,1.15,1.2,1.26,1.32,1.39,1.46,1.06
UNEMP,1969Q1--2025Q2*,0.98,0.97,0.97,0.98,1,1.03,1.07,1.12,1.17,1.24,1.01
UNEMP,1969Q1--1999Q4,0.99,0.99,1,1.02,1.04,1.08,1.13,1.18,1.23,1.3,1.05
UNEMP,2000Q1--2025Q2,1.02,1.05,1.09,1.13,1.19,1.24,1.31,1.38,1.45,1.52,1.07
UNEMP,2000Q1--2025Q2*,0.96,0.92,0.9,0.9,0.9,0.92,0.96,1,1.05,1.12,0.93
UNEMP,2000Q1--2008Q4,0.99,0.98,0.98,0.98,0.99,1.01,1.03,1.06,1.09,1.13,0.98
UNEMP,2000Q1--2019Q4,0.96,0.93,0.92,0.91,0.91,0.93,0.95,0.99,1.03,1.08,0.95
UNEMP,2010Q1--2019Q4,0.97,0.97,1.02,1.1,1.21,1.34,1.49,1.64,1.81,1.98,0.99
UNEMP,2022Q1--2025Q2,0.87,0.77,0.71,0.72,0.77,0.87,1.01,1.16,1.33,1.5,0.74
RGDP,1969Q1--2025Q2,0.98,0.98,0.98,0.99,1.02,1.05,1.09,1.14,1.19,1.25,0.99
RGDP,1969Q1--2025Q2*,0.98,0.97,0.96,0.97,0.99,1.02,1.06,1.1,1.16,1.21,0.98
RGDP,1969Q1--1999Q4,0.98,0.97,0.96,0.97,0.98,1.01,1.04,1.08,1.13,1.18,1.01
RGDP,2000Q1--2025Q2,0.98,0.98,0.99,1,1.03,1.06,1.11,1.16,1.21,1.28,0.98
RGDP,2000Q1--2025Q2*,0.98,0.97,0.97,0.98,1,1.03,1.07,1.11,1.17,1.23,0.97
RGDP,2000Q1--2008Q4,0.97,0.95,0.94,0.95,0.98,1.02,1.07,1.13,1.19,1.27,0.95
RGDP,2000Q1--2019Q4,0.99,0.98,0.99,1.01,1.03,1.07,1.12,1.17,1.23,1.29,0.99
RGDP,2010Q1--2019Q4,0.98,0.97,0.98,1,1.03,1.07,1.12,1.18,1.24,1.31,0.98
RGDP,2022Q1--2025Q2,0.97,0.94,0.93,0.93,0.94,0.96,0.98,1.02,1.07,1.12,0.94
INDPROD,1969Q1--2025Q2,0.97,0.96,0.95,0.96,0.98,1,1.04,1.08,1.13,1.18,0.97
INDPROD,1969Q1--2025Q2*,0.97,0.96,0.95,0.96,0.97,1,1.03,1.08,1.13,1.18,0.96
INDPROD,1969Q1--1999Q4,0.98,0.96,0.96,0.96,0.98,1.01,1.04,1.08,1.13,1.19,0.97
INDPROD,2000Q1--2025Q2,0.97,0.95,0.94,0.94,0.96,0.98,1.01,1.05,1.1,1.16,0.95
INDPROD,2000Q1--2025Q2*,0.97,0.95,0.94,0.93,0.95,0.97,1,1.04,1.08,1.14,0.94
INDPROD,2000Q1--2008Q4,0.97,0.95,0.94,0.94,0.95,0.97,1,1.04,1.08,1.14,0.94
INDPROD,2000Q1--2019Q4,0.97,0.95,0.93,0.93,0.94,0.96,0.99,1.03,1.08,1.13,0.94
INDPROD,2010Q1--2019Q4,0.97,0.96,0.96,0.98,1.02,1.07,1.13,1.2,1.28,1.37,0.96
INDPROD,2022Q1--2025Q2,0.97,0.97,0.99,1.03,1.09,1.17,1.26,1.36,1.47,1.58,0.99
CPI,1981Q3--2025Q2,0.99,0.98,0.99,1.01,1.04,1.07,1.12,1.17,1.23,1.29,1.01
CPI,1981Q3--2025Q2*,0.99,0.99,1,1.02,1.05,1.1,1.15,1.21,1.27,1.35,1.01
CPI,1981Q3--1999Q4,0.97,0.95,0.94,0.94,0.96,0.98,1.02,1.07,1.12,1.19,0.94
CPI,2000Q1--2025Q2,0.99,0.99,1,1.02,1.05,1.09,1.14,1.19,1.25,1.31,1.02
CPI,2000Q1--2025Q2*,0.99,1,1.02,1.04,1.08,1.13,1.19,1.25,1.32,1.39,1.03
CPI,2000Q1--2008Q4,1,1,1,1.01,1.02,1.03,1.05,1.08,1.1,1.13,1
CPI,2000Q1--2019Q4,1.01,1.04,1.07,1.11,1.16,1.22,1.28,1.34,1.41,1.48,1.05
CPI,2010Q1--2019Q4,1.02,1.05,1.09,1.13,1.18,1.24,1.31,1.38,1.45,1.53,1.01
CPI,2022Q1--2025Q2,0.93,0.86,0.82,0.8,0.8,0.82,0.86,0.92,0.99,1.08,0.97
