Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.01,1.03,1.06,1.1,1.15,1.2,1.26,1.32,1.39,1.46,1.05
UNEMP,1969Q1--2025Q2*,0.99,0.98,0.99,1.01,1.05,1.09,1.14,1.2,1.26,1.34,1.02
UNEMP,1969Q1--1999Q4,1,1,1.02,1.04,1.08,1.12,1.17,1.23,1.29,1.36,1.05
UNEMP,2000Q1--2025Q2,1.02,1.04,1.08,1.12,1.17,1.23,1.29,1.36,1.43,1.5,1.05
UNEMP,2000Q1--2025Q2*,0.97,0.96,0.96,0.97,1,1.04,1.09,1.16,1.23,1.31,0.97
UNEMP,2000Q1--2008Q4,0.99,0.99,0.99,1,1.01,1.03,1.06,1.1,1.13,1.18,0.99
UNEMP,2000Q1--2019Q4,0.97,0.95,0.94,0.94,0.96,0.98,1.01,1.05,1.1,1.16,0.97
UNEMP,2010Q1--2019Q4,0.94,0.93,0.99,1.1,1.24,1.41,1.59,1.79,2,2.21,0.94
UNEMP,2022Q1--2025Q2,0.98,1.03,1.14,1.3,1.49,1.7,1.93,2.16,2.41,2.66,1.02
RGDP,1969Q1--2025Q2,0.99,1,1.01,1.03,1.06,1.1,1.15,1.21,1.26,1.33,1.01
RGDP,1969Q1--2025Q2*,0.99,0.99,0.99,1.01,1.04,1.07,1.11,1.17,1.22,1.28,1
RGDP,1969Q1--1999Q4,0.98,0.97,0.97,0.98,1,1.02,1.06,1.1,1.15,1.2,1.01
RGDP,2000Q1--2025Q2,1,1.01,1.03,1.05,1.09,1.13,1.19,1.24,1.31,1.37,1.01
RGDP,2000Q1--2025Q2*,0.99,0.99,1,1.02,1.05,1.09,1.14,1.19,1.25,1.32,1
RGDP,2000Q1--2008Q4,0.98,0.98,0.99,1.01,1.05,1.09,1.15,1.21,1.28,1.36,0.99
RGDP,2000Q1--2019Q4,1,1,1.02,1.05,1.08,1.13,1.18,1.23,1.3,1.36,1.01
RGDP,2010Q1--2019Q4,1,1.01,1.03,1.06,1.09,1.14,1.19,1.25,1.32,1.39,1.01
RGDP,2022Q1--2025Q2,0.98,0.97,0.97,0.99,1.01,1.04,1.08,1.13,1.19,1.25,0.98
INDPROD,1969Q1--2025Q2,0.98,0.97,0.97,0.99,1.02,1.06,1.1,1.16,1.22,1.29,1
INDPROD,1969Q1--2025Q2*,0.98,0.97,0.97,0.99,1.02,1.06,1.11,1.16,1.23,1.3,1
INDPROD,1969Q1--1999Q4,0.98,0.98,0.99,1.01,1.04,1.09,1.14,1.2,1.27,1.35,1.01
INDPROD,2000Q1--2025Q2,0.96,0.94,0.92,0.91,0.92,0.94,0.96,1,1.04,1.09,0.94
INDPROD,2000Q1--2025Q2*,0.96,0.94,0.92,0.91,0.92,0.93,0.96,1,1.04,1.09,0.94
INDPROD,2000Q1--2008Q4,0.97,0.94,0.93,0.93,0.93,0.95,0.98,1.01,1.06,1.11,0.95
INDPROD,2000Q1--2019Q4,0.96,0.94,0.92,0.91,0.92,0.94,0.96,1,1.04,1.09,0.94
INDPROD,2010Q1--2019Q4,0.94,0.89,0.87,0.88,0.9,0.96,1.03,1.11,1.21,1.32,0.89
INDPROD,2022Q1--2025Q2,0.92,0.86,0.81,0.77,0.75,0.75,0.77,0.81,0.87,0.94,0.85
CPI,1981Q3--2025Q2,0.99,1,1.02,1.04,1.08,1.12,1.18,1.24,1.3,1.37,1
CPI,1981Q3--2025Q2*,0.99,0.99,1,1.03,1.07,1.12,1.17,1.24,1.31,1.39,1
CPI,1981Q3--1999Q4,0.98,0.97,0.98,1.01,1.05,1.1,1.17,1.25,1.33,1.42,0.99
CPI,2000Q1--2025Q2,1,1.01,1.02,1.05,1.08,1.13,1.18,1.23,1.29,1.36,1
CPI,2000Q1--2025Q2*,0.99,1,1.01,1.04,1.07,1.12,1.18,1.24,1.31,1.38,1
CPI,2000Q1--2008Q4,1.01,1.02,1.03,1.05,1.07,1.09,1.12,1.15,1.18,1.22,1.01
CPI,2000Q1--2019Q4,1.01,1.03,1.05,1.09,1.13,1.18,1.24,1.3,1.37,1.44,1.01
CPI,2010Q1--2019Q4,0.99,0.99,1.01,1.03,1.07,1.12,1.17,1.24,1.31,1.38,1
CPI,2022Q1--2025Q2,0.94,0.9,0.87,0.87,0.88,0.92,0.97,1.03,1.11,1.19,0.97
