Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.02,1.04,1.07,1.12,1.16,1.22,1.28,1.35,1.42,1.49,1.02
UNEMP,1969Q1--2025Q2*,1,1.02,1.05,1.09,1.14,1.2,1.26,1.33,1.41,1.49,1.04
UNEMP,1969Q1--1999Q4,1.01,1.03,1.06,1.1,1.15,1.2,1.26,1.33,1.4,1.47,1.06
UNEMP,2000Q1--2025Q2,1.02,1.04,1.08,1.12,1.17,1.23,1.29,1.35,1.43,1.5,1.01
UNEMP,2000Q1--2025Q2*,1,1.01,1.03,1.07,1.13,1.19,1.26,1.34,1.43,1.52,1.01
UNEMP,2000Q1--2008Q4,1,1.01,1.02,1.04,1.06,1.1,1.13,1.17,1.22,1.27,1.01
UNEMP,2000Q1--2019Q4,0.99,0.99,0.99,1.01,1.04,1.08,1.12,1.18,1.23,1.3,1
UNEMP,2010Q1--2019Q4,0.98,1.01,1.1,1.24,1.41,1.59,1.79,2,2.22,2.45,1
UNEMP,2022Q1--2025Q2,1.1,1.26,1.47,1.71,1.97,2.24,2.52,2.8,3.09,3.38,1.03
RGDP,1969Q1--2025Q2,1.01,1.04,1.07,1.11,1.15,1.2,1.26,1.32,1.39,1.46,1
RGDP,1969Q1--2025Q2*,1.01,1.03,1.05,1.09,1.13,1.18,1.23,1.29,1.35,1.42,1.01
RGDP,1969Q1--1999Q4,1,1,1.02,1.04,1.08,1.12,1.16,1.21,1.27,1.33,1
RGDP,2000Q1--2025Q2,1.02,1.05,1.09,1.13,1.18,1.24,1.3,1.36,1.43,1.5,1
RGDP,2000Q1--2025Q2*,1.01,1.04,1.07,1.11,1.15,1.2,1.26,1.32,1.39,1.46,1.01
RGDP,2000Q1--2008Q4,1.01,1.04,1.07,1.12,1.18,1.24,1.31,1.39,1.47,1.56,1.01
RGDP,2000Q1--2019Q4,1.02,1.05,1.09,1.14,1.19,1.25,1.32,1.38,1.46,1.53,1
RGDP,2010Q1--2019Q4,1.03,1.06,1.11,1.16,1.21,1.28,1.34,1.42,1.49,1.57,1
RGDP,2022Q1--2025Q2,1,1.01,1.03,1.06,1.1,1.14,1.18,1.23,1.29,1.35,1.01
INDPROD,1969Q1--2025Q2,1,1.02,1.05,1.09,1.15,1.21,1.27,1.35,1.43,1.52,1.08
INDPROD,1969Q1--2025Q2*,1,1.02,1.05,1.1,1.15,1.21,1.28,1.35,1.44,1.52,1.08
INDPROD,1969Q1--1999Q4,1.01,1.04,1.08,1.13,1.2,1.27,1.34,1.43,1.52,1.61,1.1
INDPROD,2000Q1--2025Q2,0.97,0.96,0.95,0.96,0.98,1,1.04,1.08,1.13,1.19,1.01
INDPROD,2000Q1--2025Q2*,0.97,0.96,0.95,0.96,0.98,1,1.04,1.08,1.13,1.19,1.01
INDPROD,2000Q1--2008Q4,0.98,0.97,0.97,0.98,1,1.03,1.07,1.11,1.16,1.22,1.01
INDPROD,2000Q1--2019Q4,0.98,0.96,0.96,0.96,0.98,1.01,1.04,1.09,1.14,1.2,1.01
INDPROD,2010Q1--2019Q4,0.93,0.89,0.87,0.88,0.92,0.98,1.05,1.15,1.25,1.37,1
INDPROD,2022Q1--2025Q2,0.89,0.8,0.71,0.64,0.6,0.58,0.59,0.63,0.7,0.78,0.99
CPI,1981Q3--2025Q2,0.99,0.99,1.01,1.03,1.07,1.11,1.16,1.22,1.28,1.35,1
CPI,1981Q3--2025Q2*,0.99,0.99,1,1.03,1.07,1.12,1.17,1.24,1.31,1.39,0.99
CPI,1981Q3--1999Q4,0.98,0.98,1,1.03,1.08,1.14,1.21,1.28,1.37,1.46,1
CPI,2000Q1--2025Q2,0.99,1,1.01,1.03,1.06,1.1,1.15,1.2,1.26,1.33,0.99
CPI,2000Q1--2025Q2*,0.99,0.99,1.01,1.03,1.07,1.11,1.17,1.23,1.29,1.37,0.99
CPI,2000Q1--2008Q4,1,1,1,1.01,1.02,1.03,1.05,1.07,1.1,1.13,1
CPI,2000Q1--2019Q4,0.99,1,1.01,1.04,1.07,1.11,1.16,1.21,1.27,1.33,1
CPI,2010Q1--2019Q4,0.98,0.99,1.02,1.08,1.15,1.24,1.35,1.46,1.58,1.71,0.99
CPI,2022Q1--2025Q2,0.98,0.97,0.99,1.02,1.06,1.12,1.19,1.27,1.36,1.46,0.98
