Variable,Method,Horizon,Period,NFixed,NRecursive
INDPROD,previous_error,3,2010Q1--2019Q4,40,40
INDPROD,previous_error,3,2022Q1--2025Q2,14,14
CPI,previous_error,3,1981Q3--2025Q2,170,170
CPI,previous_error,3,1981Q3--2025Q2*,162,162
CPI,previous_error,3,1981Q3--1999Q4,68,68
CPI,previous_error,3,2000Q1--2025Q2,102,102
CPI,previous_error,3,2000Q1--2025Q2*,94,94
CPI,previous_error,3,2000Q1--2008Q4,36,36
CPI,previous_error,3,2000Q1--2019Q4,80,80
CPI,previous_error,3,2010Q1--2019Q4,40,40
CPI,previous_error,3,2022Q1--2025Q2,14,14
UNEMP,previous_error,4,1969Q1--2025Q2,213,213
UNEMP,previous_error,4,1969Q1--2025Q2*,205,205
UNEMP,previous_error,4,1969Q1--1999Q4,111,111
UNEMP,previous_error,4,2000Q1--2025Q2,102,102
UNEMP,previous_error,4,2000Q1--2025Q2*,94,94
UNEMP,previous_error,4,2000Q1--2008Q4,36,36
UNEMP,previous_error,4,2000Q1--2019Q4,80,80
UNEMP,previous_error,4,2010Q1--2019Q4,40,40
UNEMP,previous_error,4,2022Q1--2025Q2,14,14
RGDP,previous_error,4,1969Q1--2025Q2,214,214
RGDP,previous_error,4,1969Q1--2025Q2*,206,206
RGDP,previous_error,4,1969Q1--1999Q4,111,111
RGDP,previous_error,4,2000Q1--2025Q2,103,103
RGDP,previous_error,4,2000Q1--2025Q2*,95,95
RGDP,previous_error,4,2000Q1--2008Q4,36,36
RGDP,previous_error,4,2000Q1--2019Q4,80,80
RGDP,previous_error,4,2010Q1--2019Q4,40,40
RGDP,previous_error,4,2022Q1--2025Q2,15,15
INDPROD,previous_error,4,1969Q1--2025Q2,213,213
INDPROD,previous_error,4,1969Q1--2025Q2*,205,205
INDPROD,previous_error,4,1969Q1--1999Q4,111,111
INDPROD,previous_error,4,2000Q1--2025Q2,102,102
INDPROD,previous_error,4,2000Q1--2025Q2*,94,94
INDPROD,previous_error,4,2000Q1--2008Q4,36,36
INDPROD,previous_error,4,2000Q1--2019Q4,80,80
INDPROD,previous_error,4,2010Q1--2019Q4,40,40
INDPROD,previous_error,4,2022Q1--2025Q2,14,14
CPI,previous_error,4,1981Q3--2025Q2,168,168
CPI,previous_error,4,1981Q3--2025Q2*,160,160
CPI,previous_error,4,1981Q3--1999Q4,66,66
CPI,previous_error,4,2000Q1--2025Q2,102,102
CPI,previous_error,4,2000Q1--2025Q2*,94,94
CPI,previous_error,4,2000Q1--2008Q4,36,36
CPI,previous_error,4,2000Q1--2019Q4,80,80
CPI,previous_error,4,2010Q1--2019Q4,40,40
CPI,previous_error,4,2022Q1--2025Q2,14,14
UNEMP,lagged_error,1,1969Q1--2025Q2,224,224
UNEMP,lagged_error,1,1969Q1--2025Q2*,216,216
UNEMP,lagged_error,1,1969Q1--1999Q4,122,122
UNEMP,lagged_error,1,2000Q1--2025Q2,102,102
UNEMP,lagged_error,1,2000Q1--2025Q2*,94,94
UNEMP,lagged_error,1,2000Q1--2008Q4,36,36
UNEMP,lagged_error,1,2000Q1--2019Q4,80,80
