Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.03,1.08,1.13,1.19,1.26,1.33,1.41,1.49,1.58,1.67,1.2
UNEMP,1969Q1--2025Q2*,0.98,0.96,0.95,0.95,0.95,0.96,0.97,0.99,1.02,1.04,0.96
UNEMP,1969Q1--1999Q4,0.98,0.97,0.96,0.96,0.96,0.97,0.98,1,1.02,1.05,0.97
UNEMP,2000Q1--2025Q2,1.04,1.09,1.15,1.22,1.3,1.38,1.47,1.56,1.65,1.75,1.24
UNEMP,2000Q1--2025Q2*,0.98,0.96,0.94,0.94,0.94,0.94,0.96,0.97,1,1.03,0.95
UNEMP,2000Q1--2008Q4,0.99,0.99,0.99,0.99,0.99,1,1.02,1.03,1.05,1.07,0.99
UNEMP,2000Q1--2019Q4,0.98,0.96,0.95,0.94,0.94,0.95,0.96,0.97,1,1.02,0.95
UNEMP,2010Q1--2019Q4,1,1.01,1.02,1.03,1.06,1.08,1.11,1.15,1.19,1.23,1.05
UNEMP,2022Q1--2025Q2,0.96,0.94,0.92,0.91,0.92,0.93,0.95,0.98,1.02,1.07,0.91
RGDP,1969Q1--2025Q2,1,1.01,1.03,1.05,1.07,1.1,1.13,1.17,1.21,1.25,1
RGDP,1969Q1--2025Q2*,1,1,1.01,1.03,1.05,1.07,1.1,1.13,1.16,1.2,1
RGDP,1969Q1--1999Q4,1,1.01,1.02,1.03,1.05,1.07,1.09,1.12,1.15,1.18,1
RGDP,2000Q1--2025Q2,1.01,1.02,1.03,1.06,1.08,1.11,1.15,1.19,1.23,1.28,1
RGDP,2000Q1--2025Q2*,1,1,1.01,1.03,1.05,1.07,1.1,1.13,1.16,1.2,1
RGDP,2000Q1--2008Q4,0.99,1,1.01,1.04,1.08,1.13,1.18,1.24,1.31,1.39,1
RGDP,2000Q1--2019Q4,1,1.01,1.02,1.04,1.06,1.09,1.12,1.16,1.2,1.24,1
RGDP,2010Q1--2019Q4,1,1,1.01,1.03,1.05,1.07,1.1,1.13,1.16,1.2,1
RGDP,2022Q1--2025Q2,1,0.99,1,1.01,1.02,1.04,1.06,1.08,1.11,1.14,1
INDPROD,1969Q1--2025Q2,1,1,1.01,1.03,1.04,1.07,1.09,1.12,1.16,1.2,1.02
INDPROD,1969Q1--2025Q2*,1,1,1.01,1.02,1.04,1.06,1.09,1.12,1.15,1.19,1.02
INDPROD,1969Q1--1999Q4,1,1,1.01,1.03,1.04,1.07,1.09,1.13,1.16,1.2,1.03
INDPROD,2000Q1--2025Q2,1,1,1.01,1.02,1.04,1.06,1.09,1.11,1.15,1.19,1
INDPROD,2000Q1--2025Q2*,0.99,0.99,1,1.01,1.02,1.04,1.06,1.09,1.12,1.15,1
INDPROD,2000Q1--2008Q4,0.99,0.99,1,1.01,1.02,1.04,1.06,1.08,1.11,1.15,1
INDPROD,2000Q1--2019Q4,0.99,0.99,1,1.01,1.02,1.04,1.06,1.08,1.11,1.15,1
INDPROD,2010Q1--2019Q4,1.01,1.02,1.03,1.05,1.08,1.11,1.15,1.18,1.22,1.27,1
INDPROD,2022Q1--2025Q2,1.02,1.04,1.07,1.09,1.13,1.16,1.2,1.24,1.28,1.33,1.01
CPI,1981Q3--2025Q2,1,1,1,1.01,1.02,1.03,1.04,1.06,1.08,1.1,1.01
CPI,1981Q3--2025Q2*,1,1,1,1.01,1.02,1.03,1.05,1.07,1.08,1.11,1.01
CPI,1981Q3--1999Q4,1,1.01,1.02,1.04,1.06,1.08,1.11,1.14,1.17,1.2,1.03
CPI,2000Q1--2025Q2,1,1,1,1,1.01,1.01,1.02,1.04,1.05,1.07,1
CPI,2000Q1--2025Q2*,1,1,1,1,1.01,1.02,1.03,1.04,1.06,1.07,1
CPI,2000Q1--2008Q4,1.01,1.02,1.03,1.04,1.05,1.06,1.08,1.09,1.11,1.12,1
CPI,2000Q1--2019Q4,1,1.01,1.01,1.02,1.03,1.05,1.06,1.08,1.1,1.12,1
CPI,2010Q1--2019Q4,1,1,1,1.01,1.02,1.03,1.04,1.06,1.08,1.1,1
CPI,2022Q1--2025Q2,0.97,0.95,0.93,0.91,0.9,0.88,0.87,0.87,0.87,0.87,1.02
